Taxonomy,A1b,A2b,A3b,A4b,A5b,A6b,A7b,A8b,A9b,A10b,A11b,A12b,A13b,A14b,A15b,A16b,B1b,B2b,B3b,B4b,B5b,B6b,B7b,B8b,B9b,B10b,B11b,B12b,B13b,B14b,B15b,B16b,C1b,C2b,C3b,C4b,C5b,C6b,C7b,C8b,C9b,C10b,C11b,C12b,C13b,C14b,C15b,C16b,D1b,D2b,D3b,D4b,D5b,D6b,D7b,D8b,D9b,D10b,D11b,D12b,D13b,D14b,D15b,D16b,E1b,E2b,E3b,E4b,E5b,E6b,E7b,E8b,E9b,E10b,E11b,E12b,E13b,E14b,E15b,E16b,F1b,F2b,F3b,F4b,F5b,F6b,F7b,F8b,F9b,F10b,F11b,F12b,F13b,F14b,F15b,F16b,Tax_detail
Nitrososphaeraceae,0.057154077,0.072111952,0.07007711,0.079251749,0.045444809,0.099314579,0.136762816,0.096601457,0.132835927,0.090318435,0.115878909,0.168713409,0.133264315,0.095637584,0.095601885,0.062437527,0.034199629,0.059724404,0.097958018,0.089533057,0.092567471,0.116949879,0.109310296,0.180672569,0.099742967,0.081500785,0.138440668,0.108989005,0.120519777,0.10317007,0.069077538,0.1549336,0.045016422,0.048657718,0.095030701,0.108739112,0.115700414,0.09578038,0.080108525,0.057832358,0.085284878,0.073789804,0.080394117,0.141510781,0.105312009,0.107703841,0.06372269,0.059831501,0.080965301,0.065971726,0.112808796,0.084428102,0.066757104,0.115878909,0.02395402,0.099028988,0.153112952,0.218834785,0.211694988,0.094887905,0.073789804,0.034699415,0.076360131,0.047979437,0.03980437,0.080108525,0.065364844,0.130729687,0.09331715,0.108382122,0.116628588,0.110845352,0.138047979,0.160609739,0.097493931,0.128730544,0.082714551,0.095566186,0.068042268,0.050049979,0.081143796,0.060438384,0.092674568,0.064900757,0.051228045,0.070327003,0.105776096,0.082250464,0.076538626,0.094138226,0.073504212,0.102384692,0.058474939,0.034985006,0.047051264,0.035020705,k__Archaea;p__Crenarchaeota;c__Nitrososphaeria;o__Nitrososphaerales;f__Nitrososphaeraceae;
Geobacteraceae,0.000214194,0.000107097,0.000214194,0.00035699,0.000214194,0.000535485,0,0.000785378,0.000892475,0.000821077,0.000642582,0.000821077,0.000392689,0.000142796,0.000249893,0.000642582,0.000249893,0.000285592,0.000178495,0.000963873,0.000214194,0.001463658,0.000749679,0.001142368,0.001106669,0.001035271,0.001499357,0.001178067,0.000642582,0.00071398,0.000178495,0.000142796,0.00035699,0.000785378,0.000214194,0.000856776,0.000249893,0.000464087,0.000392689,0.000535485,0.000642582,0.001535056,0.00107097,0.000606883,0.000749679,0.000321291,0.000107097,0.000107097,7.14E-05,0.000178495,7.14E-05,0.000428388,0.000285592,0.000285592,0.001249465,0.000178495,0.000428388,0.000392689,0.000606883,0.000142796,7.14E-05,0.00035699,0.000214194,0.000214194,0,0.000107097,0.000178495,0.000142796,0,3.57E-05,0.000249893,0.000392689,0.000285592,0.000214194,0.000464087,0.000142796,0,0.000249893,3.57E-05,0.000107097,0.000321291,0.001535056,0.000499786,0,0.000142796,0.001249465,0.000535485,0.000392689,0.000856776,0.000392689,0.000749679,0.000178495,0.000499786,0.003141511,0.004426674,0.005961731,k__Bacteria;p__Desulfobacterota;c__Desulfuromonadia;o__Geobacterales;f__Geobacteraceae;
WX65,0.002070541,0.00174925,0.002034842,0.00139226,0.002249036,0.002998715,0.002606026,0.003784093,0.004176781,0.002927317,0.002963016,0.00282022,0.003891189,0.0035342,0.003141511,0.003141511,0.002963016,0.001178067,0.004105383,0.001999143,0.003819792,0.002748822,0.003355705,0.002177638,0.004390975,0.002320434,0.003034414,0.002713123,0.002963016,0.00282022,0.002427531,0.001999143,0.003462802,0.001856347,0.00317721,0.001963444,0.002784521,0.005604741,0.003355705,0.002391832,0.004319577,0.003462802,0.004605169,0.002606026,0.002606026,0.002213337,0.003641297,0.002356133,0.002784521,0.001820648,0.003427103,0.001642153,0.003569899,0.003212909,0.004783664,0.00246323,0.003284307,0.002249036,0.003926888,0.002606026,0.003212909,0.003355705,0.002534628,0.003748394,0.002213337,0.000749679,0.00317721,0.000749679,0.001784949,0.002070541,0.002284735,0.001820648,0.002784521,0.002570327,0.002855919,0.002427531,0.002427531,0.001963444,0.002391832,0.003391404,0.001606454,0.000821077,0.003212909,0.001820648,0.003320006,0.003105812,0.002356133,0.001535056,0.003070113,0.002356133,0.003320006,0.002284735,0.002249036,0.005711838,0.004141082,0.002427531,k__Bacteria;p__Methylomirabilota;c__Methylomirabilia;o__Rokubacteriales;f__WX65;
Desulfuromonadaceae,0.000178495,0.000178495,0,0.000249893,0.000214194,0.000571184,0.000249893,0.000892475,0.000678281,0.001320862,0.000392689,0.000535485,0.000321291,7.14E-05,0.000285592,0.000606883,0.000428388,0.000428388,0.000392689,0.001285164,0.000285592,0.001463658,0.000999572,0.001249465,0.000678281,0.001356561,0.000785378,0.000963873,0.000464087,0.000285592,0.000285592,0.000499786,0.000535485,0.000571184,0.000107097,0.000928174,0.000249893,0.000499786,0.000428388,0.000749679,0.000678281,0.001677852,0.000749679,7.14E-05,0.000428388,0.000285592,0.000178495,0.000214194,0.000107097,0.000214194,0.000107097,0.00035699,3.57E-05,0.000428388,0.000785378,7.14E-05,0.000178495,0.000856776,0.000856776,0.000178495,0.000214194,0.000285592,0.000107097,0.000214194,3.57E-05,0.000107097,7.14E-05,0.000142796,0,3.57E-05,0.000142796,0.000321291,0.000178495,0.000464087,0.000107097,3.57E-05,0.000142796,3.57E-05,0.000107097,0.000142796,0.000392689,0.001249465,0.00035699,7.14E-05,0.000178495,0.000892475,0.001285164,0.000392689,0.000642582,0.000856776,0.00035699,0.000142796,0.000464087,0.002784521,0.003819792,0.005461945,k__Bacteria;p__Desulfobacterota;c__Desulfuromonadia;o__Desulfuromonadales;f__Desulfuromonadaceae;
Chitinophagaceae,0.000464087,0.001178067,0.000499786,0.001106669,0.000249893,0.001320862,0.002320434,0.001713551,0.001677852,0.002677424,0.001606454,0.000892475,0.000928174,0.001035271,0.001356561,0.003427103,0.001927745,0.002677424,0.001178067,0.003676996,0.001784949,0.002213337,0.001213766,0.001642153,0.000963873,0.001927745,0.001499357,0.000928174,0.003141511,0.002141939,0.003248608,0.001784949,0.001856347,0.003569899,0.00139226,0.001856347,0.002606026,0.000928174,0.001142368,0.00071398,0.001356561,0.001713551,0.002034842,0.001178067,0.003891189,0.002748822,0.00139226,0.001642153,0.002784521,0.005176353,0.003784093,0.003676996,0.001106669,0.001499357,0.002070541,0.001606454,0.002141939,0.003498501,0.00246323,0.003819792,0.001106669,0.00282022,0.002713123,0.00421248,0.004676567,0.0035342,0.002641725,0.002963016,0.00282022,0.003070113,0.001677852,0.002320434,0.001963444,0.002070541,0.003034414,0.002034842,0.001499357,0.003926888,0.00174925,0.002927317,0.001035271,0.002784521,0.000963873,0.001642153,0.001570755,0.00139226,0.001713551,0.003284307,0.000856776,0.000821077,0.001784949,0.001713551,0.00071398,0.000999572,0.00210624,0.001178067,k__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Chitinophagales;f__Chitinophagaceae;
Pedosphaeraceae,0.001285164,0.000678281,0.000678281,0.000892475,0.000642582,0.001570755,0.001820648,0.003569899,0.003819792,0.003569899,0.002498929,0.003427103,0.003320006,0.002284735,0.003819792,0.000999572,0.00035699,0.000963873,0.004283878,0.003248608,0.005104955,0.003962587,0.002891618,0.002677424,0.00210624,0.001999143,0.002784521,0.003320006,0.003605598,0.002784521,0.002034842,0.002249036,0.001142368,0.000856776,0.003784093,0.001999143,0.002249036,0.001570755,0.000821077,0.000642582,0.002498929,0.002570327,0.00317721,0.004390975,0.001642153,0.001999143,0.001142368,0.002070541,0.003784093,0.00246323,0.003605598,0.000749679,0.000785378,0.001320862,0.000392689,0.002891618,0.002927317,0.003784093,0.003355705,0.001427959,0.001642153,0.00035699,0.001106669,0.000856776,0.000535485,0.001213766,0.003926888,0.002070541,0.001820648,0.001285164,0.002213337,0.002177638,0.001463658,0.002570327,0.001677852,0.001035271,0.002891618,0.002249036,0.00174925,0.000892475,0.001320862,0.001927745,0.001178067,0.001927745,0.002356133,0.001642153,0.001178067,0.001356561,0.002356133,0.001178067,0.001285164,0.001856347,0.000963873,0.002570327,0.001963444,0.001642153,k__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiae;o__Pedosphaerales;f__Pedosphaeraceae;
Nocardiaceae,0.00139226,0.001927745,0.001963444,0.001820648,0.00139226,0.001927745,0.001356561,0.002034842,0.001356561,0.002284735,0.000821077,0.000963873,0.001713551,0.001427959,0.000856776,0.002677424,0.00139226,0.002356133,0.00210624,0.001142368,0.000785378,0.001106669,0.001213766,0.001463658,0.001606454,0.001463658,0.000999572,0.001035271,0.000892475,0.001356561,0.000928174,0.005033557,0.003034414,0.001820648,0.000999572,0.000999572,0.001035271,0.001784949,0.001820648,0.001927745,0.001427959,0.001427959,0.000928174,0.000928174,0.001178067,0.000963873,0.001106669,0.001035271,0.001035271,0.001927745,0.000928174,0.001249465,0.001178067,0.002784521,0.001606454,0.001285164,0.00071398,0.000606883,0.000535485,0.001463658,0.001320862,0.001427959,0.000785378,0.000928174,0.001927745,0.001035271,0.000963873,0.000999572,0.000963873,0.001142368,0.000535485,0.001892046,0.00071398,0.000999572,0.000821077,0.001178067,0.00107097,0.001178067,0.001035271,0.001570755,0.000821077,0.001713551,0.001106669,0.001142368,0.001856347,0.001142368,0.000785378,0.003391404,0.001999143,0.001285164,0.001106669,0.001535056,0.001642153,0.00139226,0.000785378,0.001213766,k__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Corynebacteriales;f__Nocardiaceae;
Thermomonosporaceae,0.002284735,0.00139226,0.00210624,0.002391832,0.002784521,0.001784949,0.001249465,0.002784521,0.002213337,0.002249036,0.002498929,0.002284735,0.001999143,0.002284735,0.001892046,0.002677424,0.002891618,0.00282022,0.00174925,0.001963444,0.002034842,0.001820648,0.001499357,0.002534628,0.001535056,0.00317721,0.002391832,0.002034842,0.001999143,0.002427531,0.001606454,0.002391832,0.002855919,0.002606026,0.001320862,0.001642153,0.001677852,0.001784949,0.001642153,0.004997858,0.002213337,0.003676996,0.002320434,0.001927745,0.00246323,0.001642153,0.002570327,0.001963444,0.001213766,0.001606454,0.002213337,0.00246323,0.002427531,0.002677424,0.002713123,0.001356561,0.00139226,0.002534628,0.00174925,0.002356133,0.00317721,0.002141939,0.001713551,0.003284307,0.001892046,0.00174925,0.001427959,0.002784521,0.001820648,0.002641725,0.001892046,0.004319577,0.001535056,0.001999143,0.001249465,0.002070541,0.001606454,0.001463658,0.001213766,0.001427959,0.00174925,0.001856347,0.001570755,0.001213766,0.001249465,0.002177638,0.001427959,0.002427531,0.001535056,0.002320434,0.002213337,0.001713551,0.002427531,0.003498501,0.00174925,0.001856347,k__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Streptosporangiales;f__Thermomonosporaceae;
Thermoactinomycetaceae,0.001606454,0.001677852,0.001892046,0.001784949,0.002606026,0.00139226,0.00107097,0.002177638,0.001356561,0.001356561,0.001713551,0.001713551,0.00246323,0.001784949,0.002356133,0.004962159,0.002284735,0.001570755,0.00174925,0.00107097,0.000571184,0.000821077,0.000749679,0.00174925,0.00174925,0.002356133,0.001570755,0.001820648,0.001535056,0.001642153,0.002070541,0.002855919,0.001499357,0.001249465,0.001642153,0.000428388,0.001213766,0.001927745,0.001320862,0.001535056,0.001213766,0.00107097,0.001142368,0.000535485,0.001356561,0.001642153,0.001642153,0.002748822,0.000499786,0.000464087,0.000928174,0.001142368,0.001463658,0.001213766,0.000642582,0.000856776,0.00035699,0.000464087,0.000464087,0.000571184,0.001963444,0.002606026,0.001463658,0.00210624,0.001606454,0.001249465,0.000642582,0.00071398,0.000535485,0.000856776,0.000428388,0.00107097,0.000464087,0.001213766,0.000785378,0.000749679,0.000999572,0.000928174,0.001570755,0.001178067,0.00139226,0.000571184,0.001820648,0.000535485,0.001856347,0.001677852,0.001570755,0.001499357,0.000499786,0.001784949,0.001856347,0.001463658,0.00174925,0.001427959,0.002141939,0.003498501,k__Bacteria;p__Firmicutes;c__Bacilli;o__Thermoactinomycetales;f__Thermoactinomycetaceae;
Streptosporangiaceae,0.002141939,0.004069684,0.002963016,0.00246323,0.001178067,0.002213337,0.002177638,0.002177638,0.002070541,0.001999143,0.002070541,0.001427959,0.002855919,0.001463658,0.001999143,0.002998715,0.002391832,0.004033985,0.001642153,0.002141939,0.001213766,0.001178067,0.001963444,0.002249036,0.001963444,0.001999143,0.001642153,0.000856776,0.001999143,0.00246323,0.001784949,0.001784949,0.00246323,0.00421248,0.001606454,0.001642153,0.001784949,0.004533771,0.003784093,0.002427531,0.002141939,0.002213337,0.001642153,0.001535056,0.003819792,0.002498929,0.002855919,0.002570327,0.001606454,0.002427531,0.001820648,0.001927745,0.002034842,0.001856347,0.00282022,0.00139226,0.001642153,0.00139226,0.000892475,0.001642153,0.003855491,0.002034842,0.003676996,0.002320434,0.002570327,0.002034842,0.001535056,0.003070113,0.00210624,0.002284735,0.001820648,0.004890761,0.00246323,0.00317721,0.001892046,0.002641725,0.002284735,0.002070541,0.002284735,0.002070541,0.001570755,0.002141939,0.001606454,0.001963444,0.00174925,0.002034842,0.001784949,0.002677424,0.000856776,0.002713123,0.00210624,0.001642153,0.001963444,0.001320862,0.001927745,0.002213337,k__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Streptosporangiales;f__Streptosporangiaceae;
BIrii41,0.001320862,0.00107097,0.001285164,0.001820648,0.003070113,0.00282022,0.001856347,0.00282022,0.002284735,0.004855062,0.002070541,0.001856347,0.002748822,0.002034842,0.002498929,0.003569899,0.003355705,0.003320006,0.001106669,0.002534628,0.001927745,0.003355705,0.002641725,0.002356133,0.002713123,0.002748822,0.002427531,0.002498929,0.002070541,0.001999143,0.002927317,0.001856347,0.002249036,0.002249036,0.001213766,0.001999143,0.001642153,0.001570755,0.002249036,0.003427103,0.002356133,0.001999143,0.002498929,0.000963873,0.003391404,0.002534628,0.002213337,0.002213337,0.000821077,0.001427959,0.001427959,0.000928174,0.001213766,0.001285164,0.002034842,0.001570755,0.001463658,0.001856347,0.001106669,0.000999572,0.001178067,0.002356133,0.001463658,0.003569899,0.003284307,0.002249036,0.001427959,0.001820648,0.000606883,0.001784949,0.00139226,0.002713123,0.001892046,0.001463658,0.00210624,0.002034842,0.001356561,0.002498929,0.001142368,0.002534628,0.000892475,0.001427959,0.001106669,0.001713551,0.002927317,0.001106669,0.000856776,0.00246323,0.001606454,0.001499357,0.002391832,0.001642153,0.001677852,0.003212909,0.003712695,0.002784521,k__Bacteria;p__Myxococcota;c__Polyangia;o__Polyangiales;f__BIrii41;
Yersiniaceae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00456947,0,0,0,0.00317721,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Yersiniaceae;
Dongiaceae,0.001463658,0.001606454,0.001249465,0.001892046,0.002498929,0.002427531,0.001499357,0.003391404,0.002570327,0.004248179,0.002213337,0.002498929,0.001963444,0.002570327,0.002034842,0.003569899,0.002677424,0.003034414,0.002534628,0.003641297,0.00174925,0.00317721,0.002677424,0.003498501,0.003105812,0.003926888,0.002213337,0.002498929,0.001642153,0.002177638,0.001963444,0.002498929,0.00210624,0.002891618,0.001784949,0.003034414,0.002963016,0.002427531,0.002391832,0.0035342,0.003427103,0.003355705,0.002963016,0.002070541,0.002855919,0.003284307,0.002284735,0.002606026,0.002284735,0.002249036,0.001499357,0.002213337,0.002070541,0.002320434,0.002034842,0.001606454,0.002320434,0.00282022,0.002213337,0.002498929,0.001677852,0.002641725,0.001713551,0.003605598,0.002141939,0.001463658,0.001356561,0.001535056,0.001427959,0.002641725,0.001999143,0.002641725,0.002070541,0.002498929,0.00174925,0.001713551,0.001463658,0.001213766,0.001213766,0.002606026,0.001285164,0.001927745,0.001499357,0.002177638,0.001642153,0.002784521,0.002070541,0.001677852,0.00139226,0.002177638,0.002034842,0.001213766,0.001356561,0.003070113,0.001570755,0.003498501,k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Dongiales;f__Dongiaceae;
Acetobacteraceae,0.001499357,0.001892046,0.001142368,0.001213766,0.00139226,0.000892475,0.00107097,0.000963873,0.00139226,0.001499357,0.001856347,0.000821077,0.002034842,0.001463658,0.002141939,0.003034414,0.002641725,0.002963016,0.001213766,0.002141939,0.002141939,0.002070541,0.001927745,0.001427959,0.001606454,0.001677852,0.001784949,0.00139226,0.002356133,0.002213337,0.003569899,0.002070541,0.002855919,0.002927317,0.001249465,0.003605598,0.002855919,0.00071398,0.000999572,0.001106669,0.001570755,0.000821077,0.001713551,0.001142368,0.003462802,0.001535056,0.003391404,0.001820648,0.003748394,0.003891189,0.003248608,0.002748822,0.001677852,0.001178067,0.002927317,0.001535056,0.001606454,0.001356561,0.001784949,0.002070541,0.001999143,0.001570755,0.003855491,0.004248179,0.003284307,0.002534628,0.001999143,0.003248608,0.002034842,0.001677852,0.001178067,0.001820648,0.001892046,0.000963873,0.001784949,0.001642153,0.001320862,0.001535056,0.002427531,0.001927745,0.001463658,0.002498929,0.001892046,0.001927745,0.002855919,0.001106669,0.00139226,0.001642153,0.000392689,0.000856776,0.001535056,0.001356561,0.002141939,0.001249465,0.003141511,0.00107097,k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Acetobacterales;f__Acetobacteraceae;
Myxococcaceae,0.002963016,0.002784521,0.002070541,0.001892046,0.002356133,0.001963444,0.001463658,0.002391832,0.002641725,0.00317721,0.002641725,0.002677424,0.002034842,0.00174925,0.001642153,0.002784521,0.002998715,0.002963016,0.001677852,0.002606026,0.001820648,0.002213337,0.002284735,0.002249036,0.001892046,0.002249036,0.002391832,0.001927745,0.002034842,0.002534628,0.003284307,0.00282022,0.002855919,0.002713123,0.001927745,0.002391832,0.002356133,0.002713123,0.002641725,0.003248608,0.002677424,0.002070541,0.002391832,0.000963873,0.003355705,0.002070541,0.002427531,0.002177638,0.000928174,0.001142368,0.002177638,0.001570755,0.002534628,0.002963016,0.002998715,0.001499357,0.001035271,0.001642153,0.001356561,0.002891618,0.001999143,0.002284735,0.001463658,0.001642153,0.002070541,0.001963444,0.002427531,0.001570755,0.001677852,0.002391832,0.000963873,0.001713551,0.001570755,0.001499357,0.001427959,0.002641725,0.001820648,0.001499357,0.001784949,0.000963873,0.001427959,0.001677852,0.00139226,0.001249465,0.003248608,0.002070541,0.00139226,0.00174925,0.001427959,0.001856347,0.00210624,0.00317721,0.001927745,0.003284307,0.003962587,0.004105383,k__Bacteria;p__Myxococcota;c__Myxococcia;o__Myxococcales;f__Myxococcaceae;
TRA3-20,0.001356561,0.001285164,0.001892046,0.00246323,0.001213766,0.003605598,0.002320434,0.002570327,0.002177638,0.002034842,0.002356133,0.001213766,0.001713551,0.002034842,0.001927745,0.002713123,0.001927745,0.001677852,0.001535056,0.002713123,0.001820648,0.002498929,0.001999143,0.00174925,0.001784949,0.001892046,0.001677852,0.001499357,0.002034842,0.001499357,0.001570755,0.001606454,0.001570755,0.001892046,0.001963444,0.00210624,0.001606454,0.001356561,0.002213337,0.00174925,0.002356133,0.0035342,0.002356133,0.001856347,0.00174925,0.00246323,0.001427959,0.001142368,0.002141939,0.001927745,0.00174925,0.002391832,0.001570755,0.001963444,0.003676996,0.002356133,0.00246323,0.00174925,0.002320434,0.002498929,0.001784949,0.003105812,0.001820648,0.003355705,0.004069684,0.001499357,0.00174925,0.00282022,0.001499357,0.003712695,0.001606454,0.001642153,0.001499357,0.001927745,0.002284735,0.002249036,0.002177638,0.001784949,0.001963444,0.002427531,0.001499357,0.002320434,0.002427531,0.002177638,0.00210624,0.003819792,0.002927317,0.002713123,0.001892046,0.002284735,0.003284307,0.001677852,0.002356133,0.002356133,0.001963444,0.003034414,k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__TRA3-20;
unidentified_Gaiellales,0.003427103,0.002784521,0.003427103,0.003284307,0.003712695,0.00210624,0.001499357,0.001999143,0.002070541,0.001963444,0.001570755,0.002498929,0.002677424,0.002570327,0.00246323,0.003070113,0.00317721,0.001963444,0.002606026,0.001927745,0.001927745,0.001535056,0.002141939,0.002249036,0.003105812,0.002249036,0.002855919,0.002034842,0.001784949,0.001963444,0.00246323,0.002177638,0.001856347,0.002677424,0.002213337,0.001784949,0.001570755,0.002177638,0.003819792,0.002606026,0.003141511,0.002606026,0.003105812,0.00071398,0.002213337,0.002213337,0.002713123,0.002284735,0.001463658,0.001570755,0.002177638,0.001499357,0.002177638,0.002177638,0.002677424,0.001606454,0.001927745,0.001784949,0.001285164,0.001106669,0.00174925,0.002498929,0.002034842,0.001606454,0.002249036,0.001570755,0.001820648,0.001178067,0.001427959,0.001606454,0.001892046,0.002213337,0.002356133,0.001285164,0.001713551,0.001463658,0.002320434,0.001963444,0.00210624,0.001784949,0.002141939,0.001427959,0.002391832,0.002070541,0.001499357,0.002356133,0.002677424,0.00246323,0.001463658,0.002391832,0.002034842,0.00174925,0.002963016,0.003141511,0.002606026,0.002855919,k__Bacteria;p__Actinobacteriota;c__Thermoleophilia;o__Gaiellales;f__unidentified_Gaiellales;
Bogoriellaceae,0.00210624,0.000642582,0.00071398,0.000928174,0.000892475,0.000571184,0.000749679,0.000464087,0.000499786,0.00035699,0.000392689,0.000999572,0.00035699,0.000499786,0.00071398,0.000606883,0.001713551,0.001606454,0.000606883,0.001249465,0.000785378,0.00035699,0.000785378,0.000678281,0.000571184,0.000642582,0.000285592,0.000678281,0.000392689,0.00174925,0.001463658,0.000928174,0.003676996,0.001606454,0.000606883,0.00071398,0.001463658,0.000428388,0.001213766,0.000535485,0.000249893,0.000606883,0.000499786,0.000285592,0.000785378,0.000642582,0.000999572,0.000642582,0.000963873,0.000535485,0.000321291,0.001963444,0.001642153,0.001178067,0.001320862,0.000178495,0.000214194,0.000856776,0.000464087,0.000999572,0.00071398,0.00071398,0.000928174,0.000214194,0.000571184,0.000856776,0.000464087,0.000464087,0.000963873,0.000606883,0.000464087,0.00071398,0.000535485,0.000428388,0.00107097,0.000499786,0.000821077,0.000821077,0.000464087,0.00035699,0.000999572,0.001820648,0.001035271,0.000499786,0.000749679,0.001106669,0.001463658,0.000642582,0.00071398,0.00035699,0.000571184,0.000678281,0.001963444,0.000249893,0.001892046,0.000428388,k__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Micrococcales;f__Bogoriellaceae;
Sandaracinaceae,0.000821077,0.001142368,0.001963444,0.001356561,0.001463658,0.00210624,0.001713551,0.002498929,0.001463658,0.003320006,0.001963444,0.001820648,0.001427959,0.00107097,0.001106669,0.002284735,0.002141939,0.002641725,0.001320862,0.001820648,0.001106669,0.002784521,0.002427531,0.001963444,0.002034842,0.003355705,0.001035271,0.000999572,0.001178067,0.001570755,0.001570755,0.001427959,0.001713551,0.00246323,0.001249465,0.001820648,0.001142368,0.003569899,0.002784521,0.003034414,0.00246323,0.001642153,0.001713551,0.000606883,0.00210624,0.001535056,0.00174925,0.001356561,0.000428388,0.001035271,0.001320862,0.001106669,0.001249465,0.001820648,0.001178067,0.001356561,0.001213766,0.001035271,0.000499786,0.001106669,0.00107097,0.001356561,0.000963873,0.002141939,0.002356133,0.001535056,0.00139226,0.001320862,0.000464087,0.002070541,0.000963873,0.001784949,0.00139226,0.001820648,0.001677852,0.001642153,0.000928174,0.001535056,0.000856776,0.001535056,0.000499786,0.002070541,0.000606883,0.00107097,0.002427531,0.000963873,0.000963873,0.001856347,0.001178067,0.000678281,0.001820648,0.001427959,0.001285164,0.001927745,0.002070541,0.001499357,k__Bacteria;p__Myxococcota;c__Polyangia;o__Polyangiales;f__Sandaracinaceae;
Hyphomicrobiaceae,0.001356561,0.000999572,0.001570755,0.001499357,0.002963016,0.002320434,0.001820648,0.002498929,0.002606026,0.002284735,0.002177638,0.00174925,0.001713551,0.001463658,0.001427959,0.002677424,0.002534628,0.001142368,0.001820648,0.001535056,0.001320862,0.002391832,0.001856347,0.001784949,0.002320434,0.001892046,0.002391832,0.002606026,0.001927745,0.001999143,0.001142368,0.000963873,0.001713551,0.001427959,0.001713551,0.000928174,0.001999143,0.001856347,0.00210624,0.002391832,0.003320006,0.003284307,0.002320434,0.001535056,0.002320434,0.002641725,0.001320862,0.001356561,0.001320862,0.000785378,0.001499357,0.001178067,0.001285164,0.001320862,0.002427531,0.001106669,0.000928174,0.000963873,0.001856347,0.001570755,0.001499357,0.002677424,0.000892475,0.002034842,0.002213337,0.001320862,0.001142368,0.000856776,0.000785378,0.00107097,0.001713551,0.001642153,0.001285164,0.001927745,0.001249465,0.001285164,0.000999572,0.001320862,0.000535485,0.000642582,0.000821077,0.000642582,0.001570755,0.000606883,0.001677852,0.001427959,0.002498929,0.001856347,0.001142368,0.002177638,0.002034842,0.000928174,0.001784949,0.003212909,0.00174925,0.00210624,k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Hyphomicrobiaceae;
Xanthomonadaceae,0.000464087,0.000856776,0.000678281,0.000821077,0.000392689,0.000856776,0.000678281,0.000892475,0.000392689,0.000999572,0.000678281,0.000606883,0.000606883,0.00035699,0.000785378,0.001499357,0.000642582,0.001213766,0.000606883,0.000749679,0.000464087,0.000928174,0.000499786,0.000678281,0.000571184,0.001142368,0.000678281,0.00035699,0.000749679,0.001142368,0.001427959,0.000606883,0.00107097,0.003105812,0.00071398,0.000499786,0.000963873,0.000642582,0.000749679,0.002320434,0.001142368,0.001178067,0.00107097,0.000499786,0.001106669,0.000999572,0.000785378,0.001213766,0.000571184,0.001606454,0.000749679,0.000392689,0.000642582,0.001178067,0.001535056,0.000464087,0.000785378,0.000749679,0.000749679,0.000892475,0.000392689,0.001320862,0.000285592,0.001178067,0.001427959,0.000464087,0.001213766,0.000499786,0.000464087,0.000499786,0.000749679,0.001213766,0.000464087,0.000535485,0.000642582,0.000856776,0.000428388,0.000678281,0.000428388,0.001820648,0.000285592,0.000785378,0.000285592,0.000285592,0.000928174,0.000642582,0.000821077,0.00071398,0.000642582,0.000749679,0.000749679,0.000892475,0.000571184,0.001035271,0.001892046,0.002606026,k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Xanthomonadales;f__Xanthomonadaceae;
