Taxonomy,A2f,A7f,A11f,A14f,A3f,A6f,A10f,A15f,A1f,A8f,A9f,A16f,A4f,A5f,A12f,A13f,B2f,B7f,B11f,B14f,B3f,B6f,B10f,B15f,B1f,B8f,B9f,B16f,B4f,B5f,B12f,B13f,C2f,C7f,C11f,C14f,C3f,C6f,C10f,C15f,C1f,C8f,C9f,C16f,C4f,C5f,C12f,C13f,D2f,D7f,D11f,D14f,D3f,D6f,D10f,D15f,D1f,D8f,D9f,D16f,D4f,D5f,D12f,D13f,E2f,E7f,E11f,E14f,E3f,E6f,E10f,E15f,E1f,E8f,E9f,E16f,E4f,E5f,E12f,E13f,F2f,F7f,F11f,F14f,F3f,F6f,F10f,F15f,F1f,F8f,F9f,F16f,F4f,F5f,F12f,F13f,Tax_detail
Cordycipitaceae,0.002048131,0.004821642,0.002261478,0.000512033,0.003456221,0.014422256,0.003669568,0.008149855,0.00281618,0.008235194,0.006528418,0.002730841,0.002602833,0.003840246,0.002730841,0.003285544,0.001322751,0.008064516,0.00354156,0.001536098,0.001322751,0.047363031,0.003328213,0.000554702,0.001322751,0.0078085,0.017835808,0.003157535,0.002645503,0.003498891,0.003200205,0.002688172,0.00213347,0.006912442,0.005034989,0.00281618,0.006229732,0.001280082,0.003370882,0.045058884,0.008107186,0.004096262,0.005419013,0.002517494,0.002730841,0.03823178,0.003626899,0.002688172,0.012587472,0.002986858,0.003285544,0.004608295,0.002645503,0.001664107,0.001536098,0.001877453,0.00426694,0.003242874,0.002474825,0.176096604,0.001877453,0.002944188,0.001237413,0.003840246,0.022956136,0.003498891,0.00708312,0.001194743,0.004096262,0.001109404,0.005760369,0.00068271,0.043266769,0.003370882,0.004053593,0.001322751,0.000981396,0.002176139,0.003242874,0.004309609,0.029228537,0.002602833,0.002304147,0.003242874,0.003242874,0.002432156,0.00213347,0.001365421,0.004821642,0.007851169,0.001962792,0.00354156,0.00140809,0.001877453,0.001877453,0.002986858,k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Hypocreales;f__Cordycipitaceae;
Sporormiaceae,0.051331285,0.0786397,0.048941799,0.073391364,0.08004779,0.145587984,0.125234682,0.073348694,0.128349548,0.07223929,0.051245946,0.117426182,0.096475508,0.090373784,0.064345451,0.055043523,0.116018092,0.060974569,0.064729476,0.104155999,0.050520567,0.114353985,0.154036525,0.054659498,0.073562041,0.119602321,0.113969961,0.095366103,0.048685783,0.05239802,0.082906639,0.057134323,0.094598054,0.094811401,0.045997611,0.066052227,0.045144223,0.0453149,0.035287592,0.126685441,0.079578426,0.1083376,0.106332139,0.08926438,0.111964499,0.044546851,0.063876088,0.033068783,0.039426523,0.082607954,0.023809524,0.034775559,0.046082949,0.115506059,0.084656085,0.142729135,0.043565455,0.155145929,0.072495306,0.036951698,0.070959208,0.074458099,0.024449565,0.081925243,0.128392217,0.049539171,0.061145247,0.071983274,0.04817375,0.152841782,0.065369517,0.062382659,0.067204301,0.066777607,0.105990783,0.032258065,0.085040109,0.036610343,0.046466974,0.044717529,0.120199693,0.058585083,0.095536781,0.087045571,0.065113501,0.062126643,0.056750299,0.12536269,0.082266598,0.080901178,0.064814815,0.072153951,0.096859532,0.071855265,0.033836832,0.040194572,k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Sporormiaceae;
Pleosporaceae,0.006656426,0.001109404,0.000469363,0.00140809,0.001066735,0.003712238,0.001024066,0.005931046,0.00213347,0.003626899,0.000554702,0.001280082,0.000512033,0.000469363,0.000597372,0.000256016,0.017195767,0.000981396,0.001280082,0.000512033,0.000853388,0.000213347,0.004181601,0.001962792,0.003285544,0.002048131,0.000810719,0.009771292,0.002389486,0.000981396,0.001536098,0.001152074,0.013952893,0.001066735,0.004053593,0.005120328,0.009685953,0.000810719,0.005717699,0.000981396,0.003157535,0.000640041,0.002218809,0.005034989,0.001578768,0.00072538,0.000810719,0.00140809,0.011606076,0.001066735,0.010411333,0.027564431,0.04885646,0.007467145,0.023980201,0.011478068,0.00921659,0.001792115,0.012203448,0.015275644,0.017537122,0.005376344,0.026369688,0.00140809,0.001152074,0,0.000384025,0.001194743,0.008021847,0.000469363,0.000170678,0.151348353,0.001664107,8.53E-05,0,0.000426694,0.000512033,0.001237413,0.003029527,0.000469363,0.001109404,0.000426694,8.53E-05,0.000256016,0.000768049,0.000426694,0.000640041,0.000170678,0.000981396,0.000768049,0,0.000768049,0.000213347,0.000298686,0.000512033,4.27E-05,k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Pleosporaceae;
Niessliaceae,0.001621437,0.001024066,0.001109404,0.006016385,0.006187063,0.001024066,0.002730841,0.019627923,0.005291005,0.000896057,0.000896057,0.012630142,0.006827104,0.001066735,0.000938727,0.010368664,0.001834784,0.001152074,0.001578768,0.004181601,0.002048131,0.000896057,0.000853388,0.00499232,0.002005462,0.002346817,0.000640041,0.008149855,0.006784434,0.004096262,0.000938727,0.009344598,0.00281618,0.001706776,0.001706776,0.001621437,0.002773511,0.000298686,0.00068271,0.013526199,0.002304147,0.00426694,0.000256016,0.021889401,0.00635774,0.006955112,0.000853388,0.008192524,0.001578768,0.00145076,0.001493429,0.005589691,0.001322751,0.000853388,0.000426694,0.020097286,0.003498891,0.0020908,0.000128008,0.00640041,0.005077658,0.00426694,0.00072538,0.006613757,0.003114866,0.133597884,0.005333675,0.003072197,0.005931046,0.000768049,0.000597372,0.006101724,0.003370882,0.004053593,0.000896057,0.005248336,0.002688172,0.001962792,0.001024066,0.005077658,0.001962792,0.002005462,0.001194743,0.00426694,0.004010923,0.000426694,0.001322751,0.017195767,0.00563236,0.002986858,0.000213347,0.019371906,0.009685953,0.002645503,0.000426694,0.008320533,k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Hypocreales;f__Niessliaceae;
Bionectriaceae,0.019158559,0.038487797,0.020438641,0.032130056,0.020139956,0.027692439,0.031831371,0.045698925,0.031746032,0.026071002,0.036439665,0.040450589,0.070191159,0.024364226,0.043010753,0.050179211,0.024748251,0.048557774,0.024961598,0.046509643,0.013099505,0.035330261,0.02265745,0.017281106,0.020865335,0.032471412,0.036311657,0.052910053,0.058713091,0.028460488,0.065582864,0.040194572,0.05598225,0.064302782,0.043821471,0.051971326,0.022614781,0.017110428,0.017366445,0.092848609,0.018518519,0.052184673,0.027991125,0.049795187,0.08781362,0.023041475,0.052952722,0.061443932,0.029868578,0.027735108,0.030167264,0.059054446,0.015616999,0.03609831,0.033367469,0.056067588,0.020694658,0.05239802,0.029527223,0.033879502,0.088709677,0.025729647,0.045656255,0.130098993,0.059182454,0.035202253,0.058499744,0.058030381,0.021804062,0.034263526,0.032386073,0.029783239,0.032727428,0.036482335,0.040023895,0.03396484,0.076548899,0.059267793,0.059054446,0.056195597,0.039554531,0.027564431,0.029953917,0.045954941,0.023638846,0.029527223,0.034178187,0.038530466,0.033239461,0.049965864,0.030977983,0.076420891,0.092635262,0.039597201,0.03754907,0.038914491,k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Hypocreales;f__Bionectriaceae;
Chaetomiaceae,0.005504352,0.011051374,0.034903567,0.025046936,0.02901519,0.009344598,0.056366274,0.007296467,0.030935313,0.040834613,0.012544803,0.012374125,0.00708312,0.023084144,0.015232975,0.040919952,0.012331456,0.014635603,0.025345622,0.014720942,0.076079536,0.011008705,0.04181601,0.117383513,0.008960573,0.023724185,0.010283325,0.003200205,0.018603857,0.024022871,0.014507595,0.009557945,0.014720942,0.021462707,0.028161802,0.016086363,0.042456051,0.029697901,0.065454856,0.008832565,0.023596177,0.027991125,0.012118109,0.006144393,0.018219833,0.027180406,0.0354156,0.012630142,0.026967059,0.011136713,0.01271548,0.029868578,0.017921147,0.011478068,0.024662912,0.010795358,0.007936508,0.022572111,0.0177078,0.003328213,0.015659669,0.020438641,0.009685953,0.016513057,0.00853388,0.027820447,0.012288786,0.012331456,0.015745008,0.019286568,0.089093702,0.003840246,0.010197986,0.046381635,0.021633385,0.00213347,0.007381806,0.007168459,0.016086363,0.015915685,0.011734084,0.010752688,0.014678273,0.024876259,0.031916709,0.013398191,0.028161802,0.006912442,0.0078085,0.084528076,0.009131251,0.003242874,0.011990101,0.016854412,0.006101724,0.010838027,k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Sordariales;f__Chaetomiaceae;
Tricholomataceae,0,0.112945895,0,0,0,0,4.27E-05,0,0.000256016,4.27E-05,0,0,0,0,0,0,0,0,0.002432156,0,0.000469363,0,0.000128008,0.000213347,0,0,0,0,0,0,0,4.27E-05,0,0.007595153,4.27E-05,8.53E-05,0.018219833,0,0,0,0,0,0,0,0,8.53E-05,4.27E-05,0,0,0,0,0,0,0,0,0,0,0,0.000512033,0,0,0,0,0,0,0,0.005248336,0,0.010454002,0,8.53E-05,0.000298686,0,0,0.000597372,0,0.001024066,0,0,0,8.53E-05,0.002389486,0.000170678,0.004053593,0,0.000170678,0,0,0,0,0,0,0,0,0,0,k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Agaricales;f__Tricholomataceae;
Hypocreales_fam_Incertae_sedis,0.004736303,0.010283325,0.0078085,0.007723161,0.013867554,0.005077658,0.008832565,0.011947431,0.015062297,0.009301929,0.007381806,0.013867554,0.010454002,0.010112647,0.007125789,0.022870797,0.003754907,0.007936508,0.006955112,0.012502133,0.011904762,0.006955112,0.007936508,0.008960573,0.009429937,0.011819423,0.013526199,0.011478068,0.008619218,0.007851169,0.007680492,0.013014166,0.01275815,0.012587472,0.012800819,0.010880696,0.01484895,0.003200205,0.004906981,0.016342379,0.01416624,0.037975764,0.010880696,0.107697559,0.009344598,0.005419013,0.009984639,0.011904762,0.018945212,0.013398191,0.013312852,0.031959379,0.01135006,0.006187063,0.009600614,0.020694658,0.013526199,0.015360983,0.045954941,0.010923366,0.006869773,0.034434204,0.011179382,0.013142174,0.006912442,0.016555726,0.009643284,0.006955112,0.020779997,0.005888377,0.007893839,0.007680492,0.016470387,0.010155317,0.009344598,0.0098993,0.00563236,0.004053593,0.015104967,0.013099505,0.003882915,0.006741765,0.019713262,0.01344086,0.021078682,0.007936508,0.012246117,0.011734084,0.020737327,0.071044547,0.005931046,0.008192524,0.007168459,0.009259259,0.081711896,0.013995562,k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Hypocreales;f__Hypocreales_fam_Incertae_sedis;
Microascaceae,0.01203277,0.003626899,0.021846732,0.045741594,0.065028162,0.015360983,0.011051374,0.027777778,0.029228537,0.012587472,0.012672811,0.020225294,0.06443079,0.028204472,0.034818228,0.05380611,0.008149855,0.008875235,0.09984639,0.050904591,0.018689196,0.014507595,0.013270183,0.007424475,0.015403653,0.020438641,0.008277863,0.024449565,0.076719577,0.009387267,0.022230756,0.032812767,0.008661888,0.009429937,0.015104967,0.017665131,0.010838027,0.008277863,0.012928827,0.023126813,0.007467145,0.02056665,0.013782215,0.031788701,0.04036525,0.004864311,0.03469022,0.02056665,0.05244069,0.007680492,0.015190306,0.02265745,0.005717699,0.005504352,0.007637822,0.015915685,0.011520737,0.012246117,0.009344598,0.013184844,0.03114866,0.008704557,0.011478068,0.037805086,0.008960573,0.013227513,0.008363202,0.037847756,0.013142174,0.004778973,0.024662912,0.011136713,0.021206691,0.014763612,0.01625704,0.009771292,0.009856631,0.00145076,0.017878478,0.052654037,0.007979177,0.009856631,0.013398191,0.057219662,0.01203277,0.01348353,0.026668373,0.031660693,0.014251579,0.026583035,0.018091825,0.038487797,0.045528247,0.006443079,0.005717699,0.017750469,k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Microascales;f__Microascaceae;
Pleosporales_fam_Incertae_sedis,0.000384025,0,0,0.008875235,0.020395972,0.000469363,0,0.00072538,0,0.001237413,0,0.000426694,0.000213347,0.000341355,0.000597372,0.001664107,0.000512033,0,4.27E-05,0.003669568,0.066009558,0.000170678,0.000341355,0.000170678,0.000256016,0.000298686,0.000170678,0.001664107,0,0.002304147,0.000469363,0.001749445,0.000938727,0.001066735,0.000810719,0.016641065,0.033879502,8.53E-05,0,0.001280082,0.000640041,0.000384025,0.000426694,0.001237413,0,0.000640041,8.53E-05,0.003072197,0.000341355,8.53E-05,0.000853388,0.004053593,0.042370712,0.001578768,0.001237413,0.000810719,0.001792115,0.000554702,0.004394948,0.00068271,0.000896057,0.00072538,0.001066735,0.002901519,0.00145076,0.000213347,0,0.009813961,0.02338283,0.000512033,0,0.000597372,0.000256016,0,0.001834784,0.000597372,0,0.000469363,0.000256016,0.001280082,0.001152074,0,0.000170678,0.000554702,0.09557945,0.003370882,0.000170678,0.001066735,0.000213347,0,0.000512033,0.000469363,0.000128008,0.000128008,0.000426694,0.002688172,k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Pleosporales_fam_Incertae_sedis;
Bulleribasidiaceae,0.067161632,0.002048131,0.000341355,0.00072538,0.004778973,0.002346817,0.000298686,0.002176139,0.001664107,0.004437617,0.005973716,0.003712238,0.002986858,0.007381806,0.002176139,0.003242874,0.036653012,0.001194743,0.001194743,0.002602833,0.00072538,0.000213347,0.010411333,0.000640041,0.01698242,0.000554702,0.00140809,0.011648746,0.000853388,0.000469363,0.002730841,0.002688172,0.013142174,0.003797576,0.005931046,0.051416624,0.000426694,0.001194743,0.003285544,0.000298686,0.012630142,0.000256016,0.00213347,0.001706776,0.000597372,8.53E-05,0.000896057,0.00068271,0.008832565,0.005547022,0.007680492,0.018987882,0.08926438,0.012971497,0.016641065,0.005973716,0.013398191,0.001237413,0.016598396,0.006272401,0.003754907,0.011136713,0.00281618,0.000938727,0.001152074,8.53E-05,0.000768049,0.001109404,0.005589691,0.000298686,0.000213347,0.010283325,0.001834784,0.000213347,0.000469363,0.001280082,0.000256016,0.000640041,0.004736303,0.001109404,0.003200205,0.000426694,0.00281618,0.001024066,0.001152074,0.000298686,0.001749445,0.000896057,0.005333675,0.000554702,0.00285885,0.001920123,0.000938727,0.000512033,0.00563236,0.006315071,k__Fungi;p__Basidiomycota;c__Tremellomycetes;o__Tremellales;f__Bulleribasidiaceae;
