sampling,date,plot,treatment,species_old,species,abundance,height,Cb,Db,Cm,Dm,category,OBS,ni-agrupado,familia
9,23_oct_4,1,w,ni_p1_1,poaceae,17,14.5,NA,0.1,NA,0.02,NA,hierba peluda-- misma que en plot 3?? ,ni-1,Poaceae
0,23_may_4,10,p,brho,poaceae,1,52,NA,NA,NA,NA,0,,,
0,23_may_4,10,p,brho,poaceae,1,50,NA,NA,NA,NA,0,,,
10,23_oct_16,10,p,elre,poaceae,25,23,1.5,NA,1.6,NA,NA,,,
10,23_oct_16,10,p,elre,poaceae,25,22,1.8,NA,1.8,NA,NA,,,
0,23_may_4,12,wp,opap,orchidaceae,1,11,NA,NA,NA,NA,NA,,,
10,23_oct_16,10,p,elre,poaceae,25,21,1.4,NA,1,NA,NA,,,
0,23_may_4,5,wp,bepe,bepe,1,30,NA,NA,NA,NA,NA,,,
1,23_may_16,11,c,bepe,bepe,4,24,NA,NA,NA,NA,2,,,
1,23_may_16,11,c,bepe,bepe,4,20.5,NA,NA,NA,NA,2,,,
1,23_may_16,11,c,bepe,bepe,4,13,NA,NA,NA,NA,2,,,
1,23_may_16,14,c,bepe,bepe,2,44.5,NA,NA,NA,NA,NA,,,
1,23_may_16,14,c,bepe,bepe,2,27,NA,NA,NA,NA,NA,,,
1,23_may_16,14,c,bepe,bepe,2,25,NA,NA,NA,NA,NA,,,
1,23_may_16,14,c,bepe,bepe,2,23,NA,NA,NA,NA,NA,,,
1,23_may_16,9,w,bepe,bepe,2,17,NA,NA,NA,NA,NA,,,
1,23_may_16,9,w,bepe,bepe,2,9,NA,NA,NA,NA,NA,,,
10,23_oct_16,10,p,bepe,bepe,1,3,0.6,NA,0.7,NA,0,,,
10,23_oct_16,11,c,bepe,bepe,1,2,0.6,NA,0.8,NA,0,,,
10,23_oct_16,12,wp,bepe,bepe,1,2,NA,0,NA,0.03,NA,,,
10,23_oct_16,14,c,bepe,bepe,1,3,1,NA,1.2,NA,0,,,
10,23_oct_16,4,wp,bepe,bepe,2,2,1.1,NA,0.9,NA,NA,,,
10,23_oct_16,4,wp,bepe,bepe,2,1.2,1.1,NA,0.9,NA,NA,,,
10,23_oct_16,7,c,bepe,bepe,1,8,0.8,NA,0.8,NA,0,,,
10,23_oct_16,8,w,bepe,bepe,3,5.5,1.5,NA,2.5,NA,NA,,,
10,23_oct_16,8,w,bepe,bepe,3,5,1.7,NA,2.2,NA,NA,,,
11,23_nov_13,10,p,bepe,bepe,1,3,0.8,NA,0.8,NA,,,,
11,23_nov_13,11,c,bepe,bepe,2,5,1.9,NA,2,NA,,,,
11,23_nov_13,11,c,bepe,bepe,2,4,2.5,NA,2,NA,,,,
11,23_nov_13,11,c,bepe,bepe,2,3,1.5,NA,1,NA,,,,
11,23_nov_13,14,c,bepe,bepe,2,3.5,1.5,NA,NA,1.8,,,,
11,23_nov_13,14,c,bepe,bepe,2,3,2.1,NA,2.5,NA,,,,
11,23_nov_13,6,p,bepe,bepe,1,6.5,1.5,NA,1.8,NA,,,,
11,23_nov_13,6,p,bepe,bepe,1,5,0.6,NA,0.6,NA,,,,
11,23_nov_13,6,p,bepe,bepe,1,3.5,0.6,NA,0.6,NA,,,,
11,23_nov_13,7,c,bepe,bepe,1,7,1.1,NA,1,NA,,,,
11,23_nov_13,8,w,bepe,bepe,3,7,3.3,NA,4.2,NA,,,,
11,23_nov_13,8,w,bepe,bepe,3,6,4,NA,4.3,NA,,,,
11,23_nov_13,9,w,bepe,bepe,6,7.5,1.5,NA,2,NA,,,,
11,23_nov_13,9,w,bepe,bepe,6,6.5,4,NA,5,NA,,,,
2,23_jun_14,11,c,bepe,bepe,2,12,NA,NA,NA,NA,NA,,,
2,23_jun_14,11,c,bepe,bepe,2,12,NA,NA,NA,NA,NA,,,
2,23_jun_14,11,c,bepe,bepe,2,8,NA,NA,NA,NA,NA,,,
2,23_jun_14,14,c,bepe,bepe,1,32,NA,NA,NA,NA,NA,,,
2,23_jun_14,14,c,bepe,bepe,1,19,NA,NA,NA,NA,NA,,,
2,23_jun_14,8,w,bepe,bepe,1,13,NA,NA,NA,NA,NA,,,
2,23_jun_14,9,w,bepe,bepe,1,11,NA,NA,NA,NA,NA,,,
2,23_jun_14,9,w,bepe,bepe,1,9,NA,NA,NA,NA,NA,,,
3,23_jun_28,14,c,bepe,bepe,2,NA,NA,NA,NA,NA,NA,sampling without allometric measurements if abundance was <5,,
3,23_jun_28,9,w,bepe,bepe,2,NA,NA,NA,NA,NA,NA,sampling without allometric measurements if abundance was <5,,
4,23_jul_11,9,w,bepe,bepe,2,11,2,NA,2.1,NA,0,,,
5,23_jul_26,9,w,bepe,bepe,1,6.5,0.9,NA,0.7,NA,NA,,,
5,23_jul_26,9,w,bepe,bepe,1,6,1.5,NA,1.6,NA,NA,,,
7,23_sep_4,8,w,bepe,bepe,2,4.5,1.7,NA,1.5,NA,NA,,,
7,23_sep_4,9,w,bepe,bepe,1,3,1.6,NA,1.5,NA,0,,,
8,23_sep_18,10,p,bepe,bepe,0.5,2,1.5,0.01,NA,0.01,NA,,,
8,23_sep_18,14,c,bepe,bepe,3,3.5,NA,0.05,NA,0.05,1,,,
8,23_sep_18,14,c,bepe,bepe,3,3.5,NA,0.06,NA,0.05,1,,,
8,23_sep_18,14,c,bepe,bepe,3,1,NA,0.06,0.7,NA,1,,,
8,23_sep_18,4,wp,bepe,bepe,1,3.5,1.5,NA,1.8,NA,NA,,,
8,23_sep_18,4,wp,bepe,bepe,1,2,0.5,NA,0.5,NA,NA,,,
8,23_sep_18,4,wp,bepe,bepe,1,1,0.5,NA,0.5,NA,NA,,,
8,23_sep_18,6,p,bepe,bepe,0.5,4,0.4,NA,0.4,NA,NA,,,
8,23_sep_18,7,c,bepe,bepe,3,8,1,NA,1.1,NA,NA,,,
8,23_sep_18,8,w,bepe,bepe,2,5,1.2,NA,1.8,NA,NA,,,
8,23_sep_18,8,w,bepe,bepe,2,5,1.1,NA,1.5,NA,NA,,,
8,23_sep_18,9,w,bepe,bepe,3,5,1.7,NA,1.6,NA,NA,,,
9,23_oct_4,11,c,bepe,bepe,2,4.5,1.5,NA,1,NA,0,,,
9,23_oct_4,12,wp,bepe,bepe,1,2,NA,0.01,NA,0.01,0,,,
9,23_oct_4,14,c,bepe,bepe,2,4,NA,0.16,1.7,NA,NA,,,
9,23_oct_4,14,c,bepe,bepe,2,3,NA,0.017,1.5,NA,NA,,,
9,23_oct_4,14,c,bepe,bepe,2,3,NA,0.1,1.8,NA,NA,,,
9,23_oct_4,6,p,bepe,bepe,2,5.5,1,NA,0.9,NA,NA,,,
9,23_oct_4,7,c,bepe,bepe,1,6.5,1.4,0.01,1.4,NA,0,,,
9,23_oct_4,8,w,bepe,bepe,2,5.5,2.4,NA,3.5,NA,NA,,,
9,23_oct_4,9,w,bepe,bepe,1,5,2.4,NA,2.9,NA,NA,,,
10,23_oct_16,10,p,elre,poaceae,25,19.5,1.5,NA,1.2,NA,NA,,,
10,23_oct_16,10,p,elre,poaceae,25,18.5,1.4,NA,1.3,NA,NA,,,
0,23_may_4,1,w,gedi,gedi,5,36,NA,NA,NA,NA,NA,,,
0,23_may_4,1,w,gedi,gedi,5,26,NA,NA,NA,NA,NA,,,
1,23_may_16,1,w,bepe,bepe,1,21,NA,NA,NA,NA,NA,,,
1,23_may_16,1,w,bepe,bepe,1,18,NA,NA,NA,NA,NA,,,
0,23_may_4,1,w,mear,mear,1,17,NA,NA,NA,NA,1,,,
0,23_may_4,1,w,plla,plla,10,33,NA,NA,NA,NA,NA,,,
0,23_may_4,1,w,plla,plla,10,29,NA,NA,NA,NA,NA,,,
0,23_may_4,1,w,plla,plla,10,27,NA,NA,NA,NA,NA,,,
0,23_may_4,1,w,plla,plla,10,25,NA,NA,NA,NA,NA,,,
11,23_nov_13,10,p,elre,poaceae,18,26,3.8,NA,4,NA,,,,
11,23_nov_13,10,p,elre,poaceae,18,26,1.5,NA,1.6,NA,,,,
11,23_nov_13,10,p,elre,poaceae,18,18,2.5,NA,2.6,NA,,,,
0,23_may_4,1,w,rapa,rapa,25,36,NA,NA,NA,NA,NA,,,
0,23_may_4,1,w,rapa,rapa,25,34,NA,NA,NA,NA,NA,,,
0,23_may_4,1,w,rapa,rapa,25,33,NA,NA,NA,NA,NA,,,
0,23_may_4,1,w,rapa,rapa,25,31,NA,NA,NA,NA,NA,,,
11,23_nov_13,10,p,elre,poaceae,18,18,2.1,NA,2.5,NA,,,,
11,23_nov_13,10,p,elre,poaceae,18,16,1.4,NA,1.7,NA,,,,
2,23_jun_14,10,p,elre,poaceae,1.5,16,NA,NA,NA,NA,2,,,
2,23_jun_14,10,p,elre,poaceae,1.5,13,NA,NA,NA,NA,2,,,
2,23_jun_14,10,p,elre,poaceae,1.5,9,NA,NA,NA,NA,2,,,
3,23_jun_28,10,p,elre,poaceae,12,31,1.4,NA,1.7,NA,NA,,,
3,23_jun_28,10,p,elre,poaceae,12,30,1.4,NA,1.6,NA,NA,,,
3,23_jun_28,10,p,elre,poaceae,12,29,2.4,NA,2.1,NA,NA,,,
3,23_jun_28,10,p,elre,poaceae,12,20,1.6,NA,1.7,NA,NA,,,
3,23_jun_28,10,p,elre,poaceae,12,16,1.7,NA,1.6,NA,NA,,,
4,23_jul_11,10,p,elre,poaceae,15,52,1.5,NA,1.3,NA,NA,,,
4,23_jul_11,10,p,elre,poaceae,15,30,2,NA,1.6,NA,NA,,,
4,23_jul_11,10,p,elre,poaceae,15,29,1.2,NA,1,NA,NA,,,
4,23_jul_11,10,p,elre,poaceae,15,18,1,NA,0.9,NA,NA,,,
4,23_jul_11,10,p,elre,poaceae,15,16,1.5,NA,1,NA,NA,,,
5,23_jul_26,10,p,elre,poaceae,25,34,1.2,NA,1.1,NA,NA,,,
5,23_jul_26,10,p,elre,poaceae,25,27.5,1.8,NA,2,NA,NA,,,
5,23_jul_26,10,p,elre,poaceae,25,25.5,1.5,NA,1.3,NA,NA,,,
5,23_jul_26,10,p,elre,poaceae,25,20.5,1.5,NA,1.3,NA,NA,,,
5,23_jul_26,10,p,elre,poaceae,25,13,0.8,NA,1,NA,NA,,,
6,23_aug_22,10,p,elre,poaceae,30,47,1.5,NA,1.1,NA,0,,,
6,23_aug_22,10,p,elre,poaceae,30,31,1.5,NA,1.4,NA,0,,,
6,23_aug_22,10,p,elre,poaceae,30,28,1.5,NA,1.1,NA,0,,,
6,23_aug_22,10,p,elre,poaceae,30,23,1,NA,0.9,NA,0,,,
6,23_aug_22,10,p,elre,poaceae,30,23,0.8,NA,0.9,NA,0,,,
7,23_sep_4,10,p,elre,poaceae,35,36,2.4,NA,2,NA,0,,,
7,23_sep_4,10,p,elre,poaceae,35,33,2.1,NA,0.9,NA,0,,,
7,23_sep_4,10,p,elre,poaceae,35,21,3.2,NA,2.7,NA,0,,,
7,23_sep_4,10,p,elre,poaceae,35,18,2.1,NA,1.6,NA,0,,,
7,23_sep_4,10,p,elre,poaceae,35,17.5,1.9,NA,2,NA,0,,,
8,23_sep_18,10,p,elre,poaceae,40,25,2.1,NA,1.7,NA,0,,,
0,23_may_4,2,c,gedi,gedi,3,27,NA,NA,NA,NA,7,,,
0,23_may_4,2,c,gedi,gedi,3,11,NA,NA,NA,NA,7,,,
0,23_may_4,2,c,gemo,gemo,2,19,NA,NA,NA,NA,2,,,
0,23_may_4,2,c,mear,mear,5,21,NA,NA,NA,NA,1,,,
0,23_may_4,2,c,mear,mear,5,36,NA,NA,NA,NA,0,,,
0,23_may_4,2,c,mear,mear,5,35,NA,NA,NA,NA,0,,,
8,23_sep_18,10,p,elre,poaceae,40,22.5,1.4,NA,0.9,NA,0,,,
8,23_sep_18,10,p,elre,poaceae,40,21,0.9,NA,1.1,NA,0,,,
8,23_sep_18,10,p,elre,poaceae,40,21,1.6,NA,1.3,NA,0,,,
8,23_sep_18,10,p,elre,poaceae,40,16.5,2.4,NA,2.1,NA,0,,,
9,23_oct_4,10,p,elre,poaceae,20,36,2.4,NA,2.1,NA,NA,,,
9,23_oct_4,10,p,elre,poaceae,20,25,3.2,NA,2.8,NA,NA,,,
9,23_oct_4,10,p,elre,poaceae,20,19,2.1,NA,2.1,NA,NA,,,
9,23_oct_4,10,p,elre,poaceae,20,14,2.5,NA,2,NA,NA,,,
9,23_oct_4,10,p,elre,poaceae,20,12.5,1.5,NA,1.6,NA,NA,,,
0,23_may_4,11,c,brho,poaceae,10,52,NA,NA,NA,NA,NA,,,
0,23_may_4,11,c,brho,poaceae,10,45,NA,NA,NA,NA,NA,,,
0,23_may_4,11,c,brho,poaceae,10,37,NA,NA,NA,NA,NA,,,
0,23_may_4,11,c,brho,poaceae,10,34,NA,NA,NA,NA,NA,,,
0,23_may_4,11,c,brho,poaceae,10,32,NA,NA,NA,NA,NA,,,
0,23_may_4,11,c,brho,poaceae,10,30,NA,NA,NA,NA,NA,,,
0,23_may_4,11,c,poan,poaceae,1,67,NA,NA,NA,NA,NA,,,
1,23_may_16,11,c,brho,poaceae,6,66,NA,NA,NA,NA,1,,,
1,23_may_16,11,c,brho,poaceae,6,59.5,NA,NA,NA,NA,1,,,
1,23_may_16,11,c,brho,poaceae,6,57.5,NA,NA,NA,NA,1,,,
1,23_may_16,11,c,brho,poaceae,6,51.5,NA,NA,NA,NA,1,,,
1,23_may_16,11,c,elre,poaceae,60,45,NA,NA,NA,NA,NA,,,
1,23_may_16,11,c,elre,poaceae,60,39.5,NA,NA,NA,NA,NA,,,
1,23_may_16,11,c,elre,poaceae,60,39,NA,NA,NA,NA,NA,,,
1,23_may_16,11,c,elre,poaceae,60,37,NA,NA,NA,NA,NA,,,
1,23_may_16,11,c,elre,poaceae,60,36.5,NA,NA,NA,NA,NA,,,
1,23_may_16,11,c,elre,poaceae,60,36.5,NA,NA,NA,NA,NA,,,
1,23_may_16,11,c,elre,poaceae,60,36,NA,NA,NA,NA,NA,,,
1,23_may_16,11,c,elre,poaceae,60,35.5,NA,NA,NA,NA,NA,,,
1,23_may_16,11,c,elre,poaceae,60,35,NA,NA,NA,NA,NA,,,
1,23_may_16,11,c,elre,poaceae,60,34.5,NA,NA,NA,NA,NA,,,
1,23_may_16,11,c,elre,poaceae,60,33,NA,NA,NA,NA,NA,,,
1,23_may_16,11,c,elre,poaceae,60,31,NA,NA,NA,NA,NA,,,
1,23_may_16,11,c,elre,poaceae,60,29.5,NA,NA,NA,NA,NA,,,
1,23_may_16,11,c,elre,poaceae,60,27.5,NA,NA,NA,NA,NA,,,
1,23_may_16,11,c,elre,poaceae,60,25,NA,NA,NA,NA,NA,,,
1,23_may_16,11,c,elre,poaceae,60,20,NA,NA,NA,NA,NA,,,
1,23_may_16,11,c,elre,poaceae,60,18,NA,NA,NA,NA,NA,,,
1,23_may_16,11,c,poan,poaceae,1,75,NA,NA,NA,NA,NA,,,
1,23_may_16,11,c,poan,poaceae,1,44,NA,NA,NA,NA,NA,,,
10,23_oct_16,11,c,elre,poaceae,80,30,0.7,NA,0.8,NA,NA,,,
10,23_oct_16,11,c,elre,poaceae,80,27,1.8,NA,1.5,NA,NA,,,
10,23_oct_16,11,c,elre,poaceae,80,27,1.2,NA,1,NA,NA,,,
10,23_oct_16,11,c,elre,poaceae,80,26,1.5,NA,1.6,NA,NA,,,
