"","plot","sampling","Y_zipf","mu_log","sigma_log","treatment"
"32","11","8",-1.87789052822661,1.35207327127209,1.83346156767836,"c"
"33","11","3",-1.92024870504354,1.64072942108147,1.78211301647147,"c"
"34","12","7",-1.23027611852599,1.77770388111512,0.979850344846701,"wp"
"35","12","4",-1.97810177690109,1.12155029844451,1.72070930024503,"wp"
"36","12","9",-2.41788519480176,0.81899891445803,2.32193053511264,"wp"
"37","12","8",-2.59815547060857,0.94195837616702,2.38729735818746,"wp"
"38","12","10",-3.39702906870262,0.772693590766812,3.01151813954882,"wp"
"39","12","0",-1.13196606465721,1.05166976261202,1.16035077788823,"wp"
"40","12","6",-2.31347903252966,1.27584719784069,1.82163981464595,"wp"
"41","12","11",-2.02388479909686,1.27656143763657,1.80875341342515,"wp"
"42","12","2",-2.80735492199014,0.972955074551037,1.6505988711171,"wp"
"43","12","3",-2.19381481945049,0.974493760801711,1.81085190057655,"wp"
"44","12","5",-2.44335056490632,1.19263821985487,2.1602352392969,"wp"
"45","13","2",-2.26515365115691e-16,4.67601563972254e-11,1.4714618744083e-18,"wp"
"46","13","7",-0.840005142623339,2.00882926932578,0.759158964213281,"wp"
"47","13","8",-0.804001342079413,2.26735434583429,0.713904892237497,"wp"
"48","13","4",-1.26169341382035,1.33468419441776,1.1065633029311,"wp"
"49","13","9",-0.854138381459112,1.68175896645368,0.85209247988801,"wp"
"50","13","3",-2.04998306402447,0.721871194427856,1.99262231856402,"wp"
"51","13","5",-1.10213991683336,1.7803206115788,0.949013674701073,"wp"
"52","13","10",-0.970501576436809,1.41981289930141,0.940258160530359,"wp"
"53","13","0",-2.11988595574858,0.784041586477565,2.21394373110684,"wp"
"54","13","6",-0.859166874751268,1.94006114379039,0.734673378617693,"wp"
"55","13","11",-1.74330888583986,0.600282089694048,1.82108063996328,"wp"
"56","14","2",-0.648819825204947,1.63883443039777,0.699297336974301,"c"
"57","14","7",-0.862120695052491,2.28654108161958,0.70810504555556,"c"
"58","14","11",-0.976578695219574,1.4936384701628,0.968420661998395,"c"
"59","14","8",-1.02652611604379,1.85366031784147,0.997614406925937,"c"
"60","14","4",-0.703624193195654,2.32043854836285,0.559258698284511,"c"
"61","14","9",-1.08820320098281,1.68941913431348,1.07181910487601,"c"
"62","14","6",-0.817593799330983,2.06196970083674,0.71115546359903,"c"
"63","14","5",-0.911595401567795,2.59673063941765,0.803875980696539,"c"
"64","14","10",-1.05597867208396,1.60324963511765,1.07309804721621,"c"
"65","14","0",-0.702610033373249,1.12309859943439,0.765620447718968,"c"
"66","14","3",-0.729730332324275,1.95298917955515,0.749298151804339,"c"
"67","15","2",NA,NA,NA,"p"
"68","15","7",-0.787163392750396,1.54312720127787,0.745287047681385,"p"
"69","15","11",-0.671959470602358,1.44217061148496,0.646004058714095,"p"
"70","15","8",-0.663170182933813,1.60912753432613,0.617547643793425,"p"
"71","15","4",-0.476654891501662,0.619637255942318,0.436848784830558,"p"
"72","15","9",-0.651695562242,1.54914013729866,0.617623728613596,"p"
"73","15","6",-0.838629737196988,1.51312390452784,0.80014320787344,"p"
"74","15","5",-0.767977045119258,1.09888644264253,0.727735760055711,"p"
"75","15","10",-0.778635503791438,1.41478728258405,0.757493752825416,"p"
"76","15","0",-3.8067278436126,-0.162485448026519,3.63719771026451,"p"
"77","15","3",-0.957690314624292,0.866083997902338,0.684515879964738,"p"
"78","16","2",-1.3266929444835,1.36780383684945,1.30031993594496,"w"
"79","16","7",-2,2.99573227355399,1.17591036187686,"w"
"80","16","8",-2.66296501272243,3.63096354635138,1.56570407588792,"w"
"81","16","4",-0.710999422464826,1.79232213401669,0.615512028436742,"w"
"82","16","9",-2.2352088504392,1.89346211130885,2.00003406645966,"w"
"83","16","3",-1.0548060269751,1.25197119248183,0.982584575375828,"w"
"84","16","5",-0.962294613050584,1.82121090379347,0.800194368089985,"w"
"85","16","10",-2.37362452117327,2.23852706354981,1.96504230384789,"w"
"86","16","0",-3.22615556628488,-0.639420154820838,3.39828472807824,"w"
"87","16","6",-1.2396928582544,1.7764142277493,0.989008265989419,"w"
"88","16","11",-3.35274529868985,-0.481220940274595,3.44628384134428,"w"
"89","2","0",-1.26638593591912,1.08186759869194,1.31146108509966,"c"
"90","2","6",-1.67807190511264,2.19101331733694,0.986631070598195,"c"
"91","2","11",-2.03909479621306,0.72413296026621,2.05894764430787,"c"
"92","2","2",-1.28380057494663,1.3390119761933,1.21410662411576,"c"
"93","2","7",-3.29335703785521,1.15513187711976,2.34635273353034,"c"
"94","2","9",-1.81265707502754,2.24676066166107,1.59297918396096,"c"
"95","2","3",-1.02406421286272,1.04122085776733,0.95293237130378,"c"
"96","2","8",-1.73910540138114,1.75710389358497,1.52784738953393,"c"
"97","2","4",-1.78137607117,1.19797974654083,1.46396519247599,"c"
"98","2","5",-1.68611120725038,1.22889622832653,1.56750917424456,"c"
"99","2","10",-1.96447371267146,2.1478770773296,1.74752478838246,"c"
"100","3","0",-1.09537471518676,1.42908693909415,1.16578299652427,"p"
"101","3","6",-1.2727720802521,1.71072268146687,1.21182390173102,"p"
"102","3","11",-0.38490355381173,1.60434535439623,0.367313407561556,"p"
"103","3","2",-0.464468340342054,0.152330324385326,0.30333478446352,"p"
"104","3","7",-1.21909891615196,2.0422653582069,1.15786947061582,"p"
"105","3","9",-0.926617651043968,1.3658773579502,0.951771302506034,"p"
"106","3","3",-0.631846783651493,0.804831294529895,0.57103651793734,"p"
"107","3","8",-1.32078561028719,1.24596149529646,1.37193126315266,"p"
"108","3","4",-0.734659099348952,1.71269799222017,0.66680101224216,"p"
"109","3","5",-0.951027618606291,1.84070311453535,0.925901159869266,"p"
"110","3","10",-0.861447973823632,1.23664115780184,0.865243244038412,"p"
"111","4","9",-1.07660658773484,1.2104717906293,1.04191259034378,"wp"
"112","4","11",-0.742490430335702,1.48276409384721,0.736000030762595,"wp"
"113","4","2",-0.441431447480062,0.212591982334913,0.326319201417639,"wp"
"114","4","7",-1.10213991683336,1.7803206115788,0.949013674701073,"wp"
"115","4","6",-1.31640173824039,1.24283233372014,1.18230915344117,"wp"
"116","4","3",-0.671264890576454,0.679350589918455,0.595202108395113,"wp"
"117","4","8",-1.26023591519307,1.26893311698644,1.24592675313278,"wp"
"118","4","4",-1.1219046547084,1.0932967559377,1.03382467001634,"wp"
"119","4","0",-0.996077921681952,1.83810823471649,1.00239776881329,"wp"
"120","4","5",-1.07493059200264,1.95008840482234,0.97539679593975,"wp"
"121","4","10",-1.01597556353342,0.957852912394901,1.01904307482148,"wp"
"122","5","9",-1.0975379818068,2.087232934295,1.04035662837931,"wp"
"123","5","4",-0.998431074442505,2.00550776521254,0.874340872265439,"wp"
"124","5","0",-0.785615711885386,1.72710686191416,0.770662305289408,"wp"
"125","5","6",-0.963652524854876,1.6086685481357,0.884439299165963,"wp"
"126","5","11",-0.944740468779645,2.0021333169419,0.897291367703217,"wp"
"127","5","2",-1.2886677998817,0.567567975312944,0.927729729501612,"wp"
"128","5","7",-1.1000500622341,1.98136524508593,0.961031375304189,"wp"
"129","5","3",-1.3029855510261,1.40433932741831,1.21544939231694,"wp"
"130","5","8",-1.08963019237279,2.30436317593617,0.949756152230724,"wp"
"131","5","10",-1.16671499633753,1.92363408017961,1.04849611337642,"wp"
"132","5","5",-0.956097177675508,2.41212381743355,0.798821043445742,"wp"
"133","6","7",-0.929014472541171,2.080525085862,0.875522048411343,"p"
"134","6","9",-1.03360263825057,1.67459808930426,1.00852760734316,"p"
"135","6","10",-1.10379891997414,1.33918736524681,1.13348339720246,"p"
"136","6","0",-1.31089653124802,1.54187447220745,1.29772628217669,"p"
"137","6","6",-1.08166766652261,1.93149905057802,0.970515846402236,"p"
"138","6","11",-0.860824404351692,1.33507169615939,0.943936191954784,"p"
"139","6","2",-0.710528563170675,0.23908243005742,0.441851628835465,"p"
"140","6","4",-0.977798278071152,1.77545661349611,0.904281394636992,"p"
"141","6","3",-1.00647378856387,1.76480237386859,0.903050936965501,"p"
"142","6","8",-1.06772749033856,1.6727496568535,1.05784279364957,"p"
"143","6","5",-1.05307974318693,2.13476274831841,1.03140672583388,"p"
"144","7","7",-1.3757217533488,2.2963753722952,1.055541972126,"c"
"145","7","9",-1.5669012953184,1.54338171753622,1.57066444131881,"c"
"146","7","10",-1.24180636012782,1.63499250764671,1.22464855426045,"c"
"147","7","0",-1.48982715163235,1.75995695279111,1.45005170411496,"c"
"148","7","6",-1.63312988753622,1.76680182484053,1.37814334745711,"c"
"149","7","11",-1.2695672547065,1.19470743488623,1.3698947080117,"c"
"150","7","2",-0.939705485714331,1.49620514763193,0.943078900187969,"c"
"151","7","4",-0.934036902043061,2.63408704905558,0.727411994227804,"c"
