sampling,plot,code_old,code,abundance,nind_m2,OBS
17,2,visa,visa,4,9,
17,10,tosp,tosp,4,9,
15,2,rapa,rapa,5,11,
16,1,visa,visa,5,11,
17,5,poaceae,poaceae,10,22,
15,1,tosp,tosp,6,13,
16,14,gedi,gedi,7,15,
16,5,rapa,rapa,12,25,
17,3,trfr,trfr,17,35,
13,1,apar,apar,1,2,
13,2,apar,apar,1,2,
13,2,gedi,gedi,1,2,
13,2,mydi,mydi,2,4,
13,2,plla,plla,1,2,
13,2,tosp,tosp,1,2,
13,2,trdu,trdu,1,2,
13,4,vepe,vepe,6,12,
13,5,tosp,tosp,5,10,
13,5,valo,valo,1,2,
13,5,visa,visa,2,4,
13,6,gemo,gemo,5,10,
13,8,pore,pore,1,2,
13,8,shar,shar,1,2,
13,11,tosp,tosp,1,2,
13,12,tosp,tosp,1,2,
13,14,mydi,mydi,1,2,
13,14,vepe,vepe,3,6,
13,15,mydi,mydi,1,2,
13,15,trdu,trdu,1,2,
13,16,shar,shar,6,12,
14,2,trdu,trdu,1,2,
14,3,mydi,mydi,1,2,
14,3,plla,plla,2,4,
14,4,apar,apar,1,2,
14,5,mydi,mydi,1,2,
14,8,pore,pore,1,2,
14,9,hysp,asteraceae,1,2,
14,9,mydi,mydi,1,2,
14,9,shar,shar,3,6,
14,10,melu,melu,1,2,
14,12,mydi,mydi,3,6,
14,13,visa,visa,1,2,
14,14,mydi,mydi,1,2,
14,16,cegl,cegl,1,2,
15,2,gedi,gedi,1,2,
15,2,libi,libi,1,2,
15,3,bepe,bepe,1,2,
15,3,cegl,cegl,4,8,
15,3,shar,shar,4,8,
15,3,vepe,vepe,1,2,
15,4,cegl,cegl,3,6,
15,5,trfr,trfr,1,2,
15,5,trre,trre,1,2,
15,7,gedi,gedi,1,2,
15,7,mear,mear,1,2,
15,8,pore,pore,1,2,
15,8,shar,shar,1,2,
15,9,bepe,bepe,1,2,
15,9,shar,shar,2,4,
15,10,rapa,rapa,8,16,
15,11,visa,visa,3,6,
15,12,shar,shar,1,2,
15,13,trfr,trfr,1,2,
15,14,coar,coar,1,2,
15,15,asteraceae,asteraceae,1,2,
15,16,gedi,gedi,1,2,
15,16,mear,mear,1,2,
15,16,visa,visa,1,2,
16,1,apar,apar,1,2,
16,1,plla,plla,1,2,
16,2,visa,visa,4,8,
16,3,mear,mear,3,6,
16,4,cegl,cegl,1,2,
16,4,lyar,lyar,3,6,
16,4,mydi,mydi,2,4,
16,5,coar,coar,7,14,
16,6,rapa,rapa,1,2,
16,6,tosp,tosp,3,6,
16,9,shar,shar,1,2,
16,10,hysp,asteraceae,3,6,
16,10,lyar,lyar,3,6,
16,10,mydi,mydi,1,2,
16,11,cegl,cegl,1,2,
16,11,plla,plla,1,2,
16,11,tosp,tosp,2,4,
16,12,mydi,mydi,1,2,
16,12,valo,valo,1,2,
16,13,valo,valo,4,8,
16,14,coar,coar,1,2,
16,16,visa,visa,2,4,
17,3,mear,mear,1,2,
17,3,rapa,rapa,2,4,
17,3,visa,visa,1,2,
17,5,apar,apar,1,2,
17,7,pore,pore,2,4,
17,8,pore,pore,4,8,
17,11,gedi,gedi,1,2,
17,11,rabu,rabu,1,2,
17,11,shar,shar,1,2,
17,11,tosp,tosp,2,4,
17,11,visa,visa,3,6,
17,12,cegl,cegl,1,2,
13,6,poaceae,poaceae,13,25,
14,13,valo,valo,9,17,
13,3,rapa,rapa,8,15,
14,3,trfr,trfr,8,15,
14,12,cegl,cegl,8,15,
14,16,coar,coar,8,15,
13,3,vepe,vepe,7,13,
13,12,cegl,cegl,6,11,
14,3,asteraceae,asteraceae,12,22,
14,14,rapa,rapa,6,11,
15,3,poaceae,poaceae,12,22,
14,5,tosp,tosp,5,9,
14,10,pore,pore,5,9,
14,15,poaceae,poaceae,15,27,
15,9,mydi,mydi,5,9,
15,10,tosp,tosp,5,9,
17,15,poaceae,poaceae,30,53,
13,5,asteraceae,asteraceae,4,7,
13,11,visa,visa,4,7,
13,16,rapa,rapa,4,7,
14,3,vepe,vepe,4,7,
15,1,cegl,cegl,4,7,
15,7,visa,visa,4,7,
17,3,plla,plla,4,7,
13,12,poaceae,poaceae,22,38,
14,4,shar,shar,7,12,
16,4,shar,shar,7,12,
13,14,rapa,rapa,10,17,
15,3,asteraceae,asteraceae,10,17,
15,15,poaceae,poaceae,13,22,
13,11,rapa,rapa,3,5,
13,15,cegl,cegl,9,15,
13,15,shar,shar,18,30,
14,1,rapa,rapa,9,15,
14,10,tosp,tosp,6,10,
14,12,lapu,lapu,3,5,
14,13,tosp,tosp,3,5,
14,15,cegl,cegl,9,15,
15,15,shar,shar,6,10,
17,2,tosp,tosp,6,10,
14,13,rapa,rapa,8,13,
15,14,visa,visa,8,13,
13,1,valo,valo,5,8,
13,10,poaceae,poaceae,20,32,
14,10,vepe,vepe,5,8,
16,15,plla,plla,5,8,
17,12,rapa,rapa,20,32,
13,15,rapa,rapa,12,19,
16,9,rapa,rapa,35,55,
13,1,rapa,rapa,10,15,
13,7,gedi,gedi,2,3,
13,7,rapa,rapa,10,15,
13,8,bepe,bepe,2,3,
13,9,rabu,rabu,2,3,
13,10,mear,mear,10,15,
14,1,cegl,cegl,2,3,
14,2,melu,melu,4,6,
14,8,tosp,tosp,8,12,
14,10,rapa,rapa,10,15,
14,14,rabu,rabu,2,3,
14,14,tosp,tosp,8,12,
15,2,gemo,gemo,2,3,
15,2,melu,melu,6,9,
15,3,mydi,mydi,2,3,
15,4,poaceae,poaceae,8,12,
15,5,visa,visa,4,6,
15,6,poaceae,poaceae,18,27,
15,7,rabu,rabu,4,6,
15,12,poaceae,poaceae,20,30,
16,2,trfr,trfr,2,3,
16,6,shar,shar,6,9,
17,1,gedi,gedi,2,3,
17,6,poaceae,poaceae,12,18,
17,11,bepe,bepe,2,3,
17,11,mear,mear,2,3,
17,14,tosp,tosp,6,9,
15,14,poaceae,poaceae,35,52,
14,1,visa,visa,9,13,
15,1,rapa,rapa,9,13,
16,13,poaceae ,poaceae,9,13,
17,16,coar,coar,9,13,
13,1,rabu,rabu,7,10,
13,1,visa,visa,7,10,
17,6,visa,visa,7,10,
13,2,mear,mear,5,7,
13,5,cegl,cegl,5,7,
13,6,visa,visa,5,7,
13,7,poaceae,poaceae,50,70,
14,6,tosp,tosp,5,7,
14,15,plla,plla,5,7,
15,9,poaceae,poaceae,45,63,
16,7,visa,visa,5,7,
16,10,tosp,tosp,5,7,
16,15,poaceae,poaceae,20,28,
17,4,poaceae,poaceae,5,7,
15,5,poaceae,poaceae,18,25,
13,12,lapu,lapu,3,4,
13,14,gedi,gedi,6,8,
13,15,plla,plla,6,8,
14,1,gedi,gedi,6,8,
14,9,rapa,rapa,15,20,
14,12,tosp,tosp,3,4,
15,3,tosp,tosp,6,8,
16,2,tosp,tosp,3,4,
16,14,tosp,tosp,6,8,
17,3,tosp,tosp,6,8,
17,16,libi,libi,3,4,
13,14,poaceae,poaceae,55,71,
13,4,asteraceae,asteraceae,7,9,
13,5,mear,mear,7,9,
13,15,vepe,vepe,7,9,
15,14,gedi,gedi,7,9,
16,7,tosp,tosp,7,9,
16,7,poaceae,poaceae,55,70,
13,3,trfr,trfr,8,10,
13,7,mear,mear,4,5,
14,4,rapa,rapa,28,35,
15,3,plla,plla,4,5,
17,8,tosp,tosp,12,15,
14,12,poaceae,poaceae,18,22,
13,6,tosp,tosp,5,6,
13,11,gedi,gedi,5,6,
14,3,poaceae,poaceae,15,18,
14,5,visa,visa,5,6,
14,12,valo,valo,5,6,
14,15,melu,melu,5,6,
15,13,tosp,tosp,5,6,
16,3,poaceae,poaceae,25,30,
16,14,mear,mear,5,6,
17,1,visa,visa,5,6,
17,3,gemo,gemo,10,12,
17,6,mear,mear,15,18,
17,13,plla,plla,10,12,
14,1,valo,valo,6,7,
14,5,cegl,cegl,6,7,
15,1,gedi,gedi,6,7,
15,1,visa,visa,6,7,
15,3,gedi,gedi,6,7,
15,4,tosp,tosp,6,7,
16,4,tosp,tosp,6,7,
16,5,tosp,tosp,6,7,
16,6,visa,visa,6,7,
16,13,tosp,tosp,6,7,
13,1,tosp,tosp,13,15,
13,15,poaceae,poaceae,13,15,
13,4,poaceae,poaceae,7,8,
13,3,asteraceae,asteraceae,15,17,
14,3,gemo,gemo,8,9,
15,5,mear,mear,8,9,
17,4,tosp,tosp,8,9,
13,4,shar,shar,9,10,
16,3,gemo,gemo,9,10,
15,3,gemo,gemo,10,11,
17,14,poaceae,poaceae,40,44,
14,5,plla,plla,12,13,
