sampling,plot,code_old,code,abundance,nind_m2,OBS
14,8,poaceae,poaceae,70,55,
13,4,cisp,cisp,9,7,
16,1,poaceae,poaceae,35,27,
13,4,gedi,gedi,8,6,
13,11,rabu,rabu,4,3,
13,15,visa,visa,4,3,
15,6,gemo,gemo,12,9,
15,6,tosp,tosp,4,3,
16,8,tosp,tosp,12,9,
17,8,coar,coar,4,3,
17,13,visa,visa,4,3,
17,15,plla,plla,8,6,
16,3,hysp,asteraceae,30,22,
16,10,mear,mear,15,11,
15,2,poaceae,poaceae,60,43,
15,12,rapa,rapa,60,43,
15,13,rapa,rapa,14,10,
14,4,gedi,gedi,10,7,
14,5,mear,mear,10,7,
14,13,mear,mear,10,7,
14,13,sevu,asteraceae,10,7,
15,5,rapa,rapa,20,14,
16,6,gemo,gemo,10,7,
16,14,poaceae,poaceae,60,42,
17,7,tosp,tosp,10,7,
16,12,rapa,rapa,60,41,
13,2,asteraceae,asteraceae,3,2,
13,9,bepe,bepe,3,2,
13,11,plla,plla,3,2,
14,8,mydi,mydi,3,2,
14,10,mean,mean,3,2,
14,14,bepe,bepe,3,2,
15,2,cegl,cegl,3,2,
15,3,mear,mear,3,2,
15,5,gedi,gedi,3,2,
15,11,rabu,rabu,6,4,
15,13,gemo,gemo,3,2,
16,2,gemo,gemo,3,2,
16,11,gedi,gedi,6,4,
17,2,gedi,gedi,3,2,
17,2,libi,libi,3,2,
17,4,gedi,gedi,6,4,
17,8,poaceae,poaceae,75,50,
17,11,gemo,gemo,3,2,
17,15,visa,visa,3,2,
17,4,plla,plla,20,13,
16,4,plla,plla,14,9,
17,7,poaceae,poaceae,70,45,
14,5,poaceae,poaceae,35,22,
14,9,tosp,tosp,8,5,
16,13,plla,plla,16,10,
17,6,gedi,gedi,16,10,
13,3,mear,mear,5,3,
13,11,bepe,bepe,5,3,
13,11,poaceae,poaceae,50,30,
13,11,valo,valo,5,3,
13,14,rabu,rabu,5,3,
13,15,asteraceae,asteraceae,5,3,
14,4,tosp,tosp,5,3,
14,6,gemo,gemo,15,9,
14,8,gedi,gedi,10,6,
14,11,gedi,gedi,5,3,
15,4,hysp,asteraceae,5,3,
15,8,tosp,tosp,20,12,
15,15,mear,mear,15,9,
16,3,gedi,gedi,10,6,
17,3,hysp,asteraceae,20,12,
17,5,mear,mear,5,3,
17,10,hysp,asteraceae,5,3,
16,6,gedi,gedi,12,7,
17,2,mear,mear,12,7,
13,12,rapa,rapa,70,40,
15,4,gedi,gedi,7,4,
15,9,rapa,rapa,25,14,
15,4,plla,plla,18,10,
17,9,poaceae,poaceae,75,41,
14,2,poaceae,poaceae,65,35,
16,2,poaceae,poaceae,65,35,
17,11,poaceae,poaceae,80,43,
13,1,gedi,gedi,10,5,
13,2,dagl,dagl,8,4,
13,3,fear,fear,2,1,
13,3,pore,pore,2,1,
13,5,trre,trre,4,2,
13,6,trre,trre,2,1,
13,9,asteraceae,asteraceae,2,1,
13,10,mean,mean,2,1,
13,10,shar,shar,2,1,
13,12,mear,mear,2,1,
13,14,plla,plla,2,1,
13,16,cegl,cegl,2,1,
13,16,gedi,gedi,2,1,
14,2,gedi,gedi,2,1,
14,2,rabu,rabu,2,1,
14,3,valo,valo,2,1,
14,5,asteraceae,asteraceae,2,1,
14,8,bepe,bepe,2,1,
14,9,bepe,bepe,2,1,
14,9,gedi,gedi,2,1,
14,9,rabu,rabu,2,1,
14,10,gemo,gemo,2,1,
14,12,gedi,gedi,4,2,
14,12,mear,mear,6,3,
14,12,melu,melu,4,2,
14,12,rapa,rapa,60,30,
14,13,cabu,cabu,2,1,
14,13,mean,mean,2,1,
14,15,asteraceae,asteraceae,2,1,
14,16,gedi,gedi,4,2,
15,2,rabu,rabu,2,1,
15,4,cadi,cadi,2,1,
15,6,visa,visa,8,4,
15,10,melu,melu,2,1,
15,10,visa,visa,2,1,
15,11,gemo,gemo,2,1,
15,12,gedi,gedi,4,2,
15,15,veof,veof,2,1,
15,16,cadi,cadi,2,1,
15,16,poaceae,poaceae,90,45,
16,4,gedi,gedi,10,5,
16,5,asteraceae,asteraceae,8,4,
16,5,trre,trre,4,2,
16,8,bepe,bepe,2,1,
16,9,gedi,gedi,2,1,
16,9,visa,visa,2,1,
16,10,gemo,gemo,2,1,
16,10,melu,melu,2,1,
16,11,cedi,cadi,2,1,
16,11,gemo,gemo,2,1,
16,12,gedi,gedi,2,1,
16,13,trdu,trdu,2,1,
